Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.91,377,4838,1735,0.641,8,0.005
Completed,0.9,469,4323,2248,0.88,7,0.005
Completed,0.88,242,4792,3930,0.737,32,0.25
Completed,0.86,367,2456,1360,0.363,20,0.005
Completed,0.84,302,1764,4952,0.809,31,0.001
Completed,0.9,331,4114,2212,0.185,18,0.05
Completed,0.8,202,2513,2779,0.439,1,0.01
Completed,0.93,851,163,50,0.564,38,0.1
Completed,0.74,477,362,4154,0.301,41,0.001
Completed,0.89,289,3016,1721,0.676,4,0.25
Completed,0.9,283,3915,3264,0.946,15,0.01
Completed,0.89,5302,1261,853,0.073,27,0.005
Completed,0.62,175,2021,2886,0.507,23,0.25
Completed,0.92,1619,4681,606,0.382,36,0.005
Completed,0.85,299,3704,4376,0.245,46,0.025
Completed,0.88,277,1044,2124,0.869,9,0.05
Completed,0.8,221,376,2614,0.258,15,0.005
Completed,0.79,195,721,4355,0.32,49,0.025
Completed,0.83,230,2932,2899,0.762,10,0.005
Completed,0.7,177,2122,3179,0.555,2,0.01
Completed,0.86,1302,4344,4535,0.114,39,0.001
Completed,0.89,272,4543,3195,0.538,13,0.05
Completed,0.79,209,2426,2419,0.429,45,0.01
Completed,0.86,275,1823,4738,0.938,30,0.1
Completed,0.86,552,2786,2105,0.012,9,0.05
Completed,0.87,259,4682,3595,0.385,19,0.005
Completed,0.92,448,1180,648,0.563,45,0.25
Completed,0.92,453,4412,911,0.524,17,0.25
Completed,0.75,182,2516,4945,0.899,7,0.025
Completed,0.74,179,2388,4971,0.606,29,0.1
Completed,0.74,187,2392,3984,0.669,5,0.05
Completed,0.84,454,3153,3422,0.167,25,0.005
Completed,0.8,211,3036,4823,0.777,27,0.025
Completed,0.92,479,3402,723,0.405,1,0.25
Completed,0.88,545,3207,2492,0.45,50,0.001
Completed,0.78,203,798,4802,0.758,1,0.25
Completed,0.35,179,1,4496,0.402,1,0.25
Completed,0.84,600,2945,2840,0.479,44,0.001
Completed,0.82,306,3394,4392,0.447,50,0.25
Completed,0.81,238,3063,4733,0.792,1,0.01
Completed,0.8,233,957,5000,0.405,1,0.05
Completed,0.89,806,1715,2388,0.494,38,0.001
Completed,0.89,350,3476,2162,0.814,1,0.01
Completed,0.9,367,727,1028,0.397,1,0.005
Completed,0.9,321,2980,1382,0.408,6,0.001
Completed,0.85,227,4846,5000,0.068,1,0.1
Completed,0.85,212,3410,4540,0.478,1,0.01
Completed,0.85,262,5000,5000,0.018,1,0.01
Completed,0.92,775,4422,442,0.862,1,0.01
