Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
Completed,0.6,93,3951,1266,1727,False
Completed,0.49,42,3362,3753,2692,False
Completed,0.42,44,445,1523,3271,False
Completed,0.42,23,917,3695,181,False
Completed,0.61,64,4518,1916,120,False
Completed,0.49,40,4695,4782,3088,False
Completed,0.32,7,4445,4140,4430,True
Completed,0.48,39,976,3302,3153,False
Completed,0.54,54,4870,3114,3494,False
Completed,0.37,37,2180,4240,4356,False
Completed,0.62,170,4598,430,683,False
Completed,0.48,40,1908,4574,2861,False
Completed,0.41,19,2316,2440,201,False
Completed,0.6,143,4480,759,2156,False
Completed,0.47,25,2820,3864,999,False
Completed,0.35,24,2200,4007,2322,False
Completed,0.6,133,1757,528,1178,False
Completed,0.58,71,1331,1143,1823,False
Completed,0.32,7,366,3710,2680,True
Completed,0.58,79,3540,1650,1068,False
Completed,0.51,49,3108,2516,2222,False
Completed,0.42,28,598,4046,2958,False
Completed,0.43,43,2760,2914,4752,False
Completed,0.48,61,1092,484,4336,False
Completed,0.41,19,190,1755,300,False
Completed,0.58,87,4560,1586,1459,False
Completed,0.49,44,1638,4314,1955,False
Completed,0.32,7,2932,1973,2532,True
Completed,0.32,7,3677,3471,3878,True
Completed,0.48,40,541,1722,2364,False
Completed,0.32,7,1507,4370,3387,True
Completed,0.41,23,2436,3649,1603,False
Completed,0.32,11,5000,1,1,False
Completed,0.32,7,5000,5000,5000,True
Completed,0.46,25,1481,5000,1,False
Completed,0.45,20,2786,5000,1,False
Completed,0.49,31,5000,5000,1,True
Completed,0.49,38,5000,4462,1,False
Completed,0.59,74,5000,1846,1,False
Completed,0.55,47,5000,3394,1,False
Completed,0.32,12,1,1,1,True
Completed,0.42,14,2376,5000,1,False
Completed,0.32,7,2634,5000,5000,True
Completed,0.32,12,2363,1,1,True
Completed,0.58,57,5000,2430,1,False
Completed,0.56,58,5000,2330,1,True
Completed,0.49,52,5000,4183,5000,False
Completed,0.32,12,5000,1,5000,False
Completed,0.32,7,5000,2958,5000,True
Completed,0.4,15,2390,5000,1,True
Completed,0.32,11,1,1,5000,True
Completed,0.46,22,3078,5000,1,False
Completed,0.48,28,3693,5000,1,False
Completed,0.45,64,1216,5000,5000,False
Completed,0.32,13,3375,1,1,False
Completed,0.5,35,4470,5000,1,False
Completed,0.52,42,3977,3618,1,False
Completed,0.59,71,5000,1693,2058,False
Completed,0.6,99,5000,1046,1,True
Completed,0.49,31,5000,4025,1,True
Completed,0.32,7,5000,1139,5000,True
Completed,0.31,25,1,2345,5000,False
Completed,0.54,53,2720,1126,1,True
Completed,0.52,44,3278,2531,1,False
Completed,0.32,7,1,1157,5000,True
Completed,0.59,74,5000,1477,1,True
Completed,0.62,149,5000,738,1,True
Completed,0.58,63,5000,2170,1,False
Completed,0.43,42,2821,2972,5000,False
Completed,0.32,7,1,2792,5000,True
Completed,0.31,9,1,1568,1,True
Completed,0.54,40,5000,3300,1,True
Completed,0.58,56,3993,2464,1,False
Completed,0.32,8,1914,1103,5000,True
Completed,0.55,58,5000,2618,4593,False
Completed,0.46,23,2574,2483,1,False
Completed,0.59,77,3520,1216,1,True
Completed,0.5,56,1275,2553,5000,False
Completed,0.32,12,1,1,5000,False
Completed,0.6,87,1615,1055,1,True
Completed,0.32,7,5000,1182,3109,True
Completed,0.32,25,1,3229,5000,False
Completed,0.6,99,5000,1251,1,True
Completed,0.58,66,5000,2141,1563,False
Completed,0.32,7,5000,740,5000,True
Completed,0.32,8,1,3183,1,True
Completed,0.59,70,4087,2162,1,False
Completed,0.3,29,1,1932,5000,False
Completed,0.32,7,1,1795,2138,True
Completed,0.59,69,5000,1912,1,True
Completed,0.32,7,1,4071,5000,True
Completed,0.32,7,5000,4643,1071,True
Completed,0.57,59,5000,2118,1,True
Completed,0.32,7,1,1290,2629,True
Completed,0.32,7,2221,1839,1111,True
Completed,0.55,44,3425,2122,1,True
Completed,0.32,7,1203,1639,1754,True
Completed,0.32,8,5000,2187,2119,True
Completed,0.32,7,5000,1996,5000,True
Completed,0.32,7,1,5000,2385,True
Completed,0.32,7,5000,2309,1033,True
Completed,0.31,12,1,2059,1762,False
Completed,0.59,75,5000,1726,1,True
Completed,0.32,7,1,2375,2242,True
Completed,0.48,28,2728,2207,1,True
Completed,0.5,59,5000,3423,5000,False
Completed,0.44,25,2466,2083,1349,False
Completed,0.32,12,5000,1,2543,False
Completed,0.55,47,5000,2616,1,True
Completed,0.47,26,3633,5000,1,True
Completed,0.32,8,1,4236,1,True
Completed,0.32,7,1,1997,792,True
Completed,0.32,7,5000,2665,2656,True
Completed,0.32,7,1039,3564,5000,True
Completed,0.53,42,3151,2004,1180,False
Completed,0.32,9,5000,3872,1424,True
Completed,0.32,7,2549,5000,2086,True
Completed,0.58,67,5000,1965,718,False
Completed,0.32,12,5000,1,3185,True
Completed,0.41,17,2251,2380,1,True
Completed,0.32,11,1,1,2766,False
Completed,0.47,24,3370,4323,1,True
Completed,0.49,30,5000,4504,1,True
Completed,0.32,11,1205,1,1928,True
Completed,0.32,7,4003,1913,3950,True
Completed,0.32,7,5000,5000,582,True
Completed,0.55,63,5000,2498,3128,False
Completed,0.32,12,2692,1,2619,True
Completed,0.38,19,2536,4174,1,True
Completed,0.58,62,3888,2107,1,True
Completed,0.6,70,5000,2016,1,False
Completed,0.32,7,748,2713,3541,True
Completed,0.59,62,4357,2093,1,False
Completed,0.46,37,2971,3430,2798,False
Completed,0.55,44,3282,2059,1,False
Completed,0.52,41,3268,2242,1,True
Completed,0.32,18,1,3886,2931,False
Completed,0.32,7,1,722,3841,True
Completed,0.32,7,3593,2338,5000,True
Completed,0.49,23,2662,2360,1,True
Completed,0.37,14,116,2177,1,True
Completed,0.32,7,2432,1696,3684,True
Completed,0.32,7,1,5000,3515,True
Completed,0.32,7,1,1601,3990,True
Completed,0.32,7,1,3923,3767,True
Completed,0.32,11,1,1,1881,True
Completed,0.52,46,1612,3761,2549,False
Completed,0.32,7,1,4393,2218,True
Completed,0.46,30,2779,3303,1,True
Completed,0.32,9,5000,4173,5000,True
Completed,0.54,65,5000,2854,1,True
Completed,0.56,72,5000,2463,1,True
Completed,0.57,62,5000,2219,1,True
