Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.89,4997,4028,2517,427,172,7
Completed,0.9,4646,4360,1933,736,229,3
Completed,0.91,2474,1488,377,879,184,9
Completed,0.71,102,2044,1,1000,250,6
Completed,0.87,3016,36,5000,360,120,10
Completed,0.87,245,2396,1,1000,188,10
Completed,0.85,172,2301,1,1000,250,10
Completed,0.74,104,46,1,1000,158,6
Completed,0.9,2590,48,2851,291,97,3
Completed,0.92,3911,476,4215,181,140,5
Completed,0.74,1765,55,3561,185,199,162
Completed,0.83,894,933,1475,452,115,112
Completed,0.9,5751,2590,4065,534,26,8
Completed,0.91,4511,461,3159,832,75,4
Completed,0.92,2563,380,2262,606,39,9
Completed,0.89,5895,4575,4364,317,234,1
Completed,0.9,1824,2509,47,781,115,3
Completed,0.92,2805,2721,3250,443,216,10
Completed,0.9,4597,2227,211,731,22,2
Completed,0.91,2745,3353,853,15,235,8
Completed,0.9,4129,1109,1759,374,159,4
Completed,0.92,3472,816,3598,558,224,8
Completed,0.9,5260,4907,1199,509,165,9
Completed,0.9,6704,2840,4382,91,52,7
Completed,0.85,888,2034,1504,865,245,5
Completed,0.9,5288,1422,3774,686,210,4
Completed,0.9,3875,676,551,221,77,2
Completed,0.9,5663,1008,4962,912,12,10
Completed,0.89,5576,3962,1615,137,191,2
Completed,0.89,6799,3135,2806,710,88,4
Completed,0.89,4737,1754,685,495,143,8
Completed,0.89,5147,3211,1833,977,53,10
Completed,0.92,1408,426,1507,223,250,8
Completed,0.92,2530,2536,2677,2,250,1
Completed,0.92,1772,2651,1564,1000,250,10
Completed,0.92,1701,734,867,610,250,3
Completed,0.9,3010,1357,167,718,226,1
Completed,0.91,612,170,526,1000,250,4
Completed,0.64,693,1,1236,874,250,4
Completed,0.89,2854,1357,1,1000,177,1
Completed,0.64,984,1,1775,1000,242,8
Completed,0.91,791,1059,1,1000,248,4
Completed,0.91,2926,1076,833,1000,241,1
Completed,0.91,1093,1315,1,547,225,4
Completed,0.92,927,504,263,121,241,2
Completed,0.92,1644,718,963,1000,250,10
Completed,0.92,2384,429,2379,822,224,5
Completed,0.91,771,2363,119,273,250,1
Completed,0.92,830,2365,338,1000,250,2
Completed,0.52,74,1,1,2,197,1
Completed,0.92,764,2430,1,2,250,1
Completed,0.91,646,930,1,432,238,7
Completed,0.92,578,2327,1,1000,250,1
Completed,0.89,322,2326,1,470,250,5
Completed,0.52,93,1,1,2,250,1
Completed,0.91,1252,2675,1,2,250,1
Completed,0.9,497,2270,17,2,250,1
Completed,0.79,140,170,1,1000,104,10
Completed,0.92,1097,2362,1020,1000,250,4
Completed,0.88,265,428,1,824,241,10
Completed,0.92,683,1623,1,1000,250,10
Completed,0.93,1129,2326,832,1000,250,1
Completed,0.92,539,903,1,554,176,10
Completed,0.92,770,2429,158,1000,250,1
Completed,0.92,1745,2220,2184,1000,250,9
Completed,0.9,320,485,1,1000,155,10
Completed,0.89,349,2166,1,2,250,1
Completed,0.67,3000,1,5000,2,250,1
Completed,0.91,1353,2234,1550,109,250,9
Completed,0.89,286,2286,1,1000,250,4
Completed,0.92,1203,2320,661,2,250,1
Completed,0.82,173,227,1,1000,250,10
Completed,0.91,708,3439,1,1000,250,10
Completed,0.92,926,2367,484,745,250,4
Completed,0.53,81,1,1,2,132,1
Completed,0.8,164,208,1,124,167,10
Completed,0.55,61,1,1,287,158,10
Completed,0.92,1020,189,1025,193,136,10
Completed,0.91,569,1184,1,1000,226,10
Completed,0.91,673,1164,1,674,202,10
Completed,0.92,534,2995,1,1000,250,10
Completed,0.92,1440,174,1718,223,141,10
Completed,0.5,63,1,1,369,73,10
Completed,0.82,166,237,1,178,50,10
Completed,0.92,630,182,433,204,150,10
Completed,0.67,79,2038,1,1000,250,10
Completed,0.91,378,2548,1,1000,189,10
Completed,0.82,647,22,928,320,130,10
Completed,0.92,566,1253,1,733,250,10
Completed,0.76,114,125,1,268,198,10
Completed,0.91,836,125,758,2,232,1
Completed,0.91,1092,3863,1,1000,250,10
Completed,0.92,442,726,1,1000,205,10
Completed,0.89,292,2319,1,1000,210,5
Completed,0.91,985,4104,1,1000,250,10
Completed,0.91,819,3657,1,1000,250,10
Completed,0.91,5622,2939,5000,1000,250,1
Completed,0.92,454,3250,1,1000,250,10
Completed,0.92,345,2704,1,1000,181,10
Completed,0.92,1217,2561,937,1000,190,10
Completed,0.91,4044,3149,5000,1000,250,10
Completed,0.92,1112,110,1,1000,13,1
Completed,0.9,1755,3956,1,1000,71,10
Completed,0.65,2306,1,3634,879,250,10
Completed,0.89,559,203,73,1000,250,1
Completed,0.92,640,3133,1,277,182,10
Completed,0.91,327,590,1,477,250,8
Completed,0.89,3865,5000,1,175,250,1
Completed,0.89,5446,1983,2006,2,250,1
Completed,0.91,1163,5000,1,169,250,10
Completed,0.83,199,187,1,527,250,6
Completed,0.89,4475,4502,1,261,250,1
Completed,0.89,2831,179,3549,281,250,10
Completed,0.66,2060,1,3550,1000,250,1
Completed,0.64,2199,1,3904,1000,250,10
Completed,0.92,582,206,327,658,250,1
Completed,0.92,423,2818,1,381,217,10
Completed,0.88,5395,5000,1,1000,134,1
Completed,0.88,5306,4328,1,1000,157,1
Completed,0.51,63,1,1,1000,111,6
Completed,0.9,949,5000,1,785,159,10
Completed,0.9,2125,157,3430,1000,250,10
Completed,0.8,99,83,1,1000,211,5
Completed,0.91,881,3364,1,192,163,10
Completed,0.9,1401,5000,1,1000,250,6
Completed,0.84,166,161,1,1000,184,5
Completed,0.63,2494,1,3290,787,250,10
Completed,0.92,1339,2224,1887,566,250,1
Completed,0.63,1958,1,3754,610,250,6
Completed,0.66,1783,1,3274,2,250,1
Completed,0.91,1072,4614,1,511,147,10
Completed,0.9,2239,117,3790,593,250,10
Completed,0.89,3871,4014,1,309,250,1
Completed,0.91,807,4842,1,1000,250,10
Completed,0.92,1651,2343,1952,1000,250,1
Completed,0.75,131,110,1,536,130,8
Completed,0.92,2092,2391,2445,1000,250,1
Completed,0.92,1750,2306,2278,1000,250,1
Completed,0.91,968,4718,1,1000,250,10
Completed,0.92,1913,2292,1994,1000,159,1
Completed,0.92,2150,2466,2160,1000,250,1
Completed,0.93,6328,2027,2795,1000,2,1
Completed,0.9,4824,5000,3106,1000,250,10
Completed,0.89,5213,5000,2838,2,250,1
Completed,0.9,4673,4459,3319,1000,250,10
Completed,0.91,860,5000,1,1000,250,10
Completed,0.91,827,3534,1,361,250,10
Completed,0.91,1022,3762,1,265,250,10
Completed,0.92,1380,2514,1097,402,250,10
Completed,0.9,365,453,1,1000,250,6
Completed,0.91,4252,626,5000,1000,250,10
Completed,0.71,87,84,1,1000,167,10
Completed,0.92,448,814,1,958,250,7
Completed,0.92,2878,277,5000,1000,250,10
Completed,0.89,4363,1633,2210,1000,151,10
Completed,0.92,1701,2640,1326,132,250,10
Completed,0.92,1884,2483,2317,166,250,10
Completed,0.92,2143,2507,2372,22,162,10
Completed,0.9,7165,59,1052,1000,2,1
Completed,0.9,1131,4206,1,542,208,10
Completed,0.89,524,104,507,1000,162,10
Completed,0.92,769,2526,289,1000,250,10
Completed,0.83,204,2233,1,786,250,8
Completed,0.66,2236,2001,3634,1000,250,10
Completed,0.9,703,3043,1,1000,81,10
Completed,0.91,828,3245,1,766,158,10
Completed,0.87,241,80,1,422,195,1
Completed,0.71,92,89,1,510,250,10
Completed,0.92,1341,135,1355,229,204,1
Completed,0.89,3661,1366,57,719,140,9
Completed,0.89,5446,4978,1632,971,213,2
Completed,0.93,1812,139,2841,176,90,8
Completed,0.9,4238,1186,2415,325,112,6
Completed,0.9,4773,3856,3623,529,239,2
Completed,0.9,4168,2649,840,113,39,5
Completed,0.91,2904,2468,4533,783,162,9
Completed,0.81,887,2016,1255,30,226,4
Completed,0.9,4164,3105,2556,825,100,10
Completed,0.89,4282,4299,339,283,173,7
Completed,0.89,7982,740,4136,612,50,1
Completed,0.88,7734,594,1120,890,26,3
Completed,0.89,7175,4525,4915,220,152,6
Completed,0.89,4909,3230,2035,676,79,8
Completed,0.9,4606,1809,3336,472,202,5
Completed,0.88,7473,1673,1977,846,48,8
Completed,0.9,6590,3368,3277,49,170,1
Completed,0.88,7171,4660,1022,591,119,4
Completed,0.93,3239,456,4818,265,245,10
Completed,0.92,1718,878,554,238,204,9
Completed,0.88,13574,4164,4351,910,81,5
