Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.89,2397,3438,2195,2,0.698
Completed,0.92,915,1874,524,1,0.999
Completed,0.85,634,1338,3136,1,0.999
Completed,0.84,568,845,2889,1,0.999
Completed,0.89,668,1456,2052,1,0.999
Completed,0.91,749,4549,1660,1,0.999
Completed,0.9,541,2329,347,1,0.931
Completed,0.91,792,2685,634,1,0.692
Completed,0.37,338,1,1987,1,0.999
Completed,0.92,3065,5000,979,10,0.999
Completed,0.92,1417,1505,292,6,0.999
Completed,0.85,611,176,454,2,0.566
Completed,0.92,1064,4998,345,1,0.442
Completed,0.9,1036,5000,2057,2,0.999
Completed,0.9,3252,5000,124,9,0.999
Completed,0.87,693,3138,2016,1,0.999
Completed,0.83,8275,4884,4149,1,0.185
Completed,0.86,2846,1022,2126,10,0.518
Completed,0.87,4183,1438,2597,5,0.478
Completed,0.86,3354,2652,1177,6,0.819
Completed,0.92,2113,2939,547,9,0.158
Completed,0.6,3397,40,4643,4,0.762
Completed,0.88,4585,1967,2168,6,0.267
Completed,0.88,1501,4704,3112,1,0.685
Completed,0.92,1250,4520,705,7,0.864
Completed,0.67,3900,2249,4175,1,0.213
Completed,0.8,3541,423,1698,8,0.691
Completed,0.76,3175,2537,3267,3,0.353
Completed,0.85,1510,3253,2478,2,0.402
Completed,0.83,4873,996,2802,8,0.554
Completed,0.92,1741,1647,238,4,0.043
Completed,0.83,3402,3168,3607,9,0.958
Completed,0.92,502,2992,781,1,0.815
Completed,0.83,1242,760,2649,3,0.999
Completed,0.92,1685,5000,658,8,0.402
Completed,0.92,715,267,140,4,0.84
Completed,0.9,3162,3485,112,7,0.373
Completed,0.85,1655,4048,4192,3,0.999
Completed,0.92,1517,3570,239,9,0.485
Completed,0.91,1034,4807,1410,5,0.999
Completed,0.91,2162,872,92,6,0.594
Completed,0.91,1942,3531,1371,6,0.999
Completed,0.92,790,702,209,3,0.749
Completed,0.79,910,273,1275,2,0.716
Completed,0.9,1137,1796,1758,2,0.696
Completed,0.92,774,954,457,2,0.784
Completed,0.91,792,1330,884,2,0.76
Completed,0.87,642,5000,3627,1,0.893
Completed,0.91,1857,5000,205,3,0.999
Completed,0.59,1394,4,1253,2,0.473
Completed,0.88,6388,4991,73,7,0.641
Completed,0.78,1938,126,1066,3,0.471
Completed,0.76,899,22,298,4,0.577
Completed,0.77,2950,1039,5000,5,0.999
Completed,0.86,1757,4980,4781,1,0.796
Completed,0.92,1725,184,32,5,0.301
Completed,0.83,1512,373,1077,10,0.999
Completed,0.79,915,36,379,4,0.34
Completed,0.83,1111,1256,3137,1,0.858
Completed,0.92,2807,4592,887,10,0.297
Completed,0.57,568,1,306,4,0.456
Completed,0.92,509,2117,69,3,0.878
Completed,0.82,1039,1487,5000,1,0.999
Completed,0.87,1231,3185,2057,1,0.65
Completed,0.87,1540,4831,3410,4,0.999
Completed,0.92,1943,4827,659,1,0.001
Completed,0.92,1991,2763,87,8,0.001
Completed,0.92,1136,1677,591,10,0.908
