Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.41,47,1003,3880,0.327,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.53,60,527,947,0.322,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,59,4895,3380,0.132,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,68,5000,3170,0.211,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.47,53,4535,4550,0.253,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.44,50,1465,3885,0.501,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.32,143,54,4873,0.763,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.37,53,2336,978,0.88,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,90,4166,1699,0.284,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.56,98,693,721,0.644,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,135,4180,1317,0.253,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.61,178,4463,837,0.507,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.48,40,715,3128,0.098,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.35,86,3656,2398,0.722,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,90,4798,1962,0.029,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.48,66,5000,4474,0.036,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.36,42,97,2740,0.559,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.6,100,3068,695,0.385,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.4,103,4024,3470,0.609,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,70,1596,2096,0.227,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
